id,name,created_at,updated_at
1,Nidoz,2017-04-29 09:10:10.081344,2017-04-29 09:10:10.127604
2,I-santorini,2017-04-29 09:10:10.643224,2017-04-29 09:10:10.666002
4,Setia Sky,2017-04-29 09:10:11.541705,2017-04-29 09:10:11.563342
5,Uoa Business Park,2017-04-29 09:10:12.15907,2017-04-29 09:10:12.184306
6,Forest Ville,2017-04-29 09:10:12.289848,2017-04-29 09:10:12.315453
7,Ceylonz,2017-04-29 09:10:13.755704,2017-04-29 09:10:13.782335
8,Agile,2017-04-29 09:10:14.623965,2017-04-29 09:10:14.652145
9,Novus,2017-04-29 09:10:16.380275,2017-04-29 09:10:16.404982
11,Rainz,2017-04-29 09:10:24.968025,2017-04-29 09:10:25.016872
12,One Foresta,2017-04-29 09:10:29.401288,2017-04-29 09:10:29.42065
13,Summer Skye,2017-04-29 09:10:30.905571,2017-04-29 09:10:30.932401
15,Solaria,2017-04-29 09:10:50.336709,2017-04-29 09:10:50.360779
16,Queens Residence 2,2017-04-29 09:10:50.867705,2017-04-29 09:10:50.917209
17,Expressionz,2017-04-29 09:10:57.337053,2017-04-29 09:10:57.372018
18,Queens Residence,2017-04-29 09:10:59.212818,2017-04-29 09:10:59.243228
19,Woodsbury,2017-04-29 09:11:09.496727,2017-04-29 09:11:09.515209
10,Luminari,2017-04-29 09:10:23.231329,2017-04-29 09:11:15.686046
21,Desa Green,2017-04-29 09:11:17.411213,2017-04-29 09:11:17.446938
14,Utropolis Batu Kawan,2017-04-29 09:10:36.323845,2017-04-29 09:11:17.681752
20,Quinton,2017-04-29 09:11:17.034475,2017-04-29 09:11:25.548695
22,Verve Suites,2017-05-05 16:45:48.995169,2017-05-05 16:45:49.184869
23,Golden Triangle 2,2017-05-19 05:53:39.174348,2017-05-19 05:53:39.174348
24,Urban Suite,2017-05-20 08:22:20.3729,2017-05-20 08:22:20.3729
25,Millerz,2017-06-06 02:56:00.429613,2017-06-06 02:56:00.429613
3,Novum,2017-04-29 09:10:11.162769,2017-06-07 04:56:01.551219
26,Danau Kota Setapak,2017-06-18 18:43:56.56062,2017-06-18 18:43:56.56062
27,Millerz Retail,2017-06-19 08:28:22.156482,2017-06-19 08:28:22.156482
28,Koi Suites,2017-06-28 07:53:28.859035,2017-06-28 07:53:28.859035
