id,unit_no,size,nett_price,spa_price,comm,comm_percentage,project_id,sale_id,created_at,updated_at
1,,,600984.0,707040.0,9603.72432,1.7,1,1,2017-07-05 07:47:40.715725,2017-07-05 07:47:40.757884
2,,,690228.0,831600.0,11029.84344,1.7,2,2,2017-07-05 07:47:40.798869,2017-07-05 07:47:40.82214
9,"",,772055.0,908300.0,12337.4389,1.7,2,9,2017-07-05 07:47:41.410452,2017-07-06 02:25:53.278852
3,,,548394.6,656760.0,8763.345708,1.7,1,3,2017-07-05 07:47:40.844744,2017-07-05 07:47:40.868158
4,,,550064.6,658760.0,8790.032308,1.7,1,4,2017-07-05 07:47:40.890417,2017-07-05 07:47:40.9137
5,,,550064.6,658760.0,8790.032308,1.7,1,5,2017-07-05 07:47:40.93095,2017-07-05 07:47:40.958823
6,,,835116.9,1000140.0,13345.168062,1.7,1,6,2017-07-05 07:47:40.979407,2017-07-05 07:47:41.021368
7,,,614779.2,719040.0,9824.171616,1.7,1,7,2017-07-05 07:47:41.234171,2017-07-05 07:47:41.262468
8,,,866700.0,963000.0,20367.45,2.5,3,8,2017-07-05 07:47:41.329951,2017-07-05 07:47:41.359057
64,FT,12,5677.0,34688.0,80.0457,1.5,4,64,2017-07-06 14:55:13.935076,2017-07-06 14:55:13.961691
11,,,863100.0,959000.0,20282.85,2.5,3,11,2017-07-05 07:47:41.501105,2017-07-05 07:47:41.522834
12,,,682720.0,803200.0,10909.8656,1.7,2,12,2017-07-05 07:47:41.539274,2017-07-05 07:47:41.561631
66,A - 15 - 07,1245,1236950.0,1903000.0,29068.325,2.5,11,66,2017-07-08 07:45:18.073579,2017-07-08 07:45:18.107244
13,,,798575.0,939500.0,12761.2285,1.7,2,13,2017-07-05 07:47:41.583835,2017-07-05 07:47:41.600277
25,B - 43 - 17,1001,562100.8,610990.0,6340.497024,1.2,6,25,2017-07-05 07:47:42.985937,2017-07-08 07:46:23.586593
14,,,730660.0,859600.0,11675.9468,1.7,2,14,2017-07-05 07:47:41.622713,2017-07-05 07:47:41.639425
15,,,718448.0,865600.0,11480.79904,1.7,2,15,2017-07-05 07:47:41.833517,2017-07-05 07:47:41.851499
67,C - 13A - 01,1434,739674.0,850163.0,11819.99052,1.7,2,67,2017-07-08 07:55:12.642408,2017-07-08 07:55:12.661454
16,,,836309.7,978140.0,13364.229006,1.7,1,16,2017-07-05 07:47:41.874324,2017-07-05 07:47:41.890868
17,,,712810.0,838600.0,11390.7038,1.7,2,17,2017-07-05 07:47:41.912278,2017-07-05 07:47:41.928557
10,J-03-03A,1603,1209557.6,1511947.0,17054.76216,1.5,4,10,2017-07-05 07:47:41.458415,2017-07-08 07:58:49.474256
18,,,679360.0,772000.0,9578.976,1.5,5,18,2017-07-05 07:47:42.290291,2017-07-05 07:47:42.306886
