id,percentage,nett_value,spa,comm,ren_id,sale_id,created_at,updated_at
633,50.0,234500.0,260000.0,1763.44,31,106,2017-04-29 09:12:47.981069,2017-04-29 09:12:47.985998
1,100.0,741370.0,872200.0,11847.09,2,1,2017-04-29 09:10:10.060564,2017-04-29 09:10:10.138738
634,50.0,234500.0,260000.0,1763.44,50,106,2017-04-29 09:12:47.992175,2017-04-29 09:12:47.996075
913,50.0,281619.9,329380.0,4500.286002,8,470,2017-05-28 01:56:02.696218,2017-05-28 01:56:02.704341
914,25.0,140809.95,164690.0,2250.143001,27,470,2017-05-28 01:56:02.714233,2017-05-28 01:56:02.721036
915,12.5,70404.975,82345.0,1125.0715005,28,470,2017-05-28 01:56:02.728918,2017-05-28 01:56:02.73504
916,12.5,70404.975,82345.0,1125.0715005,2,470,2017-05-28 01:56:02.7458,2017-05-28 01:56:02.752048
820,50.0,340413.95,426050.0,5439.814921,28,365,2017-05-16 14:03:04.423635,2017-05-16 14:03:04.437965
2,12.5,94158.75,110775.0,1504.66,3,2,2017-04-29 09:10:10.221039,2017-04-29 09:10:10.541517
3,12.5,94158.75,110775.0,1504.66,4,2,2017-04-29 09:10:10.307475,2017-04-29 09:10:10.543282
4,37.5,282476.25,332325.0,4513.97,5,2,2017-04-29 09:10:10.390676,2017-04-29 09:10:10.544974
5,37.5,282476.25,332325.0,4513.97,6,2,2017-04-29 09:10:10.478777,2017-04-29 09:10:10.546658
821,50.0,340413.95,426050.0,5439.814921,2,365,2017-05-16 14:03:04.455975,2017-05-16 14:03:04.469406
6,100.0,448000.0,448000.0,3360.12,7,3,2017-04-29 09:10:10.636958,2017-04-29 09:10:10.674521
848,50.0,275634.5,322380.0,4404.63931,48,449,2017-05-21 07:15:18.276474,2017-05-21 07:15:18.35561
849,25.0,137817.25,161190.0,2202.319655,8,449,2017-05-21 07:15:18.392689,2017-05-21 07:15:18.412488
850,12.5,68908.625,80595.0,1101.1598275,4,449,2017-05-21 07:15:18.439487,2017-05-21 07:15:18.470885
7,75.0,535882.5,630450.0,8563.4,8,4,2017-04-29 09:10:10.755933,2017-04-29 09:10:10.981496
8,12.5,89313.75,105075.0,1427.23,3,4,2017-04-29 09:10:10.835976,2017-04-29 09:10:10.98307
9,12.5,89313.75,105075.0,1427.23,4,4,2017-04-29 09:10:10.920244,2017-04-29 09:10:10.984823
851,12.5,68908.625,80595.0,1101.1598275,3,449,2017-05-21 07:15:18.506385,2017-05-21 07:15:18.557975
862,100.0,293480.0,319000.0,2758.712,31,454,2017-05-22 11:39:06.666248,2017-05-22 11:39:06.672369
939,50.0,229500.0,255000.0,1725.84,13,476,2017-05-29 14:53:33.22164,2017-05-29 14:53:33.238842
10,50.0,319050.0,354500.0,7497.68,9,5,2017-04-29 09:10:11.074523,2017-04-29 09:10:11.192791
11,50.0,319050.0,354500.0,7497.68,10,5,2017-04-29 09:10:11.158199,2017-04-29 09:10:11.194162
940,25.0,114750.0,127500.0,862.92,7,476,2017-05-29 14:53:33.246989,2017-05-29 14:53:33.260192
878,75.0,830325.0,985005.0,7805.055,29,463,2017-05-25 07:00:10.208779,2017-05-25 07:00:10.218875
879,25.0,276775.0,328335.0,2601.685,7,463,2017-05-25 07:00:10.226132,2017-05-25 07:00:10.230652
887,50.0,719412.0,899265.0,10143.7092,28,466,2017-05-26 05:42:30.926274,2017-05-26 05:42:30.933385
888,50.0,719412.0,899265.0,10143.7092,2,466,2017-05-26 05:42:30.939686,2017-05-26 05:42:30.943722
12,12.5,394680.0,411125.0,3709.99,4,6,2017-04-29 09:10:11.274875,2017-04-29 09:10:11.583497
13,12.5,394680.0,411125.0,3709.99,3,6,2017-04-29 09:10:11.355207,2017-04-29 09:10:11.585238
14,37.5,1184040.0,1233375.0,11129.98,11,6,2017-04-29 09:10:11.444972,2017-04-29 09:10:11.586822
15,37.5,1184040.0,1233375.0,11129.98,6,6,2017-04-29 09:10:11.535009,2017-04-29 09:10:11.588297
941,25.0,114750.0,127500.0,862.92,204,476,2017-05-29 14:53:33.275641,2017-05-29 14:53:33.286687
16,100.0,448000.0,448000.0,3360.12,7,7,2017-04-29 09:10:11.668523,2017-04-29 09:10:11.706534
943,75.0,566291.25,666225.0,9049.334175,55,281,2017-05-30 03:35:38.812299,2017-05-30 03:35:38.816397
944,12.5,94381.875,111037.5,1508.2223625,18,281,2017-05-30 03:35:38.820645,2017-05-30 03:35:38.827202
945,12.5,94381.875,111037.5,1508.2223625,1,281,2017-05-30 03:35:38.834026,2017-05-30 03:35:38.838099
17,50.0,215000.0,215000.0,1612.56,12,8,2017-04-29 09:10:11.794726,2017-04-29 09:10:11.928104
18,50.0,215000.0,215000.0,1612.56,13,8,2017-04-29 09:10:11.884107,2017-04-29 09:10:11.929556
19,100.0,733720.0,863200.0,11724.85,14,9,2017-04-29 09:10:12.022315,2017-04-29 09:10:12.064569
961,100.0,609649.0,713040.0,9742.19102,21,477,2017-05-31 02:50:49.319309,2017-05-31 02:50:49.326789
975,75.0,212520.0,231000.0,1997.688,31,486,2017-06-01 07:53:39.925772,2017-06-01 07:53:39.933987
976,25.0,70840.0,77000.0,665.896,33,486,2017-06-01 07:53:39.939551,2017-06-01 07:53:39.943784
979,100.0,1637700.0,1819560.0,15394.38,29,489,2017-06-01 10:04:19.116131,2017-06-01 10:04:19.119266
983,100.0,390280.0,443500.0,3668.632,31,274,2017-06-02 05:50:35.044404,2017-06-02 05:50:35.050249
986,75.0,469920.0,534000.0,6625.872,37,491,2017-06-02 10:29:04.960861,2017-06-02 10:29:04.966474
987,75.0,469920.0,534000.0,6625.872,37,492,2017-06-03 09:18:22.758401,2017-06-03 09:18:22.767232
988,25.0,156640.0,178000.0,2208.624,31,492,2017-06-03 09:18:22.777631,2017-06-03 09:18:22.782867
999,100.0,727760.0,827000.0,10261.416,7,496,2017-06-04 07:12:18.500914,2017-06-04 07:12:18.510547
1009,25.0,149361.3,164887.0,701.99811,37,501,2017-06-04 10:31:39.760802,2017-06-04 10:31:39.767895
1010,75.0,448083.9,494661.0,2105.99433,226,501,2017-06-04 10:31:39.776514,2017-06-04 10:31:39.783314
20,100.0,1360620.0,1511800.0,19184.74,1,10,2017-04-29 09:10:12.152942,2017-04-29 09:10:12.194316
917,75.0,382129.65,424588.5,1796.009355,37,471,2017-05-28 03:39:45.560174,2017-05-28 03:39:45.568535
21,100.0,466800.0,517800.0,3501.12,7,11,2017-04-29 09:10:12.28379,2017-04-29 09:10:12.32639
918,25.0,127376.55,141529.5,598.669785,208,471,2017-05-28 03:39:45.57556,2017-05-28 03:39:45.58086
22,50.0,351942.5,414050.0,5624.04,15,12,2017-04-29 09:10:12.412323,2017-04-29 09:10:12.52555
23,50.0,351942.5,414050.0,5624.04,16,12,2017-04-29 09:10:12.491559,2017-04-29 09:10:12.526914
822,75.0,414093.6,484320.0,6617.215728,8,437,2017-05-16 14:20:45.139129,2017-05-16 14:20:45.143123
823,12.5,69015.6,80720.0,1102.869288,3,437,2017-05-16 14:20:45.147891,2017-05-16 14:20:45.151014
824,12.5,69015.6,80720.0,1102.869288,4,437,2017-05-16 14:20:45.155252,2017-05-16 14:20:45.158257
24,50.0,346885.5,434150.0,5543.23,17,13,2017-04-29 09:10:12.609864,2017-04-29 09:10:12.748804
25,50.0,346885.5,434150.0,5543.23,18,13,2017-04-29 09:10:12.694756,2017-04-29 09:10:12.750897
844,25.0,153692.5,166192.5,1155.7676,7,446,2017-05-20 07:55:21.797933,2017-05-20 07:55:21.870249
845,75.0,461077.5,498577.5,3467.3028,38,446,2017-05-20 07:55:21.932252,2017-05-20 07:55:21.946385
26,100.0,488200.0,542444.0,3661.63,19,14,2017-04-29 09:10:12.838034,2017-04-29 09:10:12.881473
852,75.0,516780.0,587250.0,7286.598,31,450,2017-05-21 09:39:29.533806,2017-05-21 09:39:29.538228
853,25.0,172260.0,195750.0,2428.866,7,450,2017-05-21 09:39:29.542944,2017-05-21 09:39:29.546139
863,50.0,413879.85,484070.0,6613.800003,2,455,2017-05-22 13:16:47.726856,2017-05-22 13:16:47.73193
864,50.0,413879.85,484070.0,6613.800003,28,455,2017-05-22 13:16:47.737613,2017-05-22 13:16:47.741966
867,50.0,141680.0,154000.0,1331.792,210,457,2017-05-23 11:57:51.883145,2017-05-23 11:57:51.893627
868,50.0,141680.0,154000.0,1331.792,31,457,2017-05-23 11:57:51.905399,2017-05-23 11:57:51.911774
27,50.0,451800.0,502000.0,10617.3,8,15,2017-04-29 09:10:12.963271,2017-04-29 09:10:13.262021
28,25.0,225900.0,251000.0,5308.65,20,15,2017-04-29 09:10:13.046762,2017-04-29 09:10:13.263979
29,12.5,112950.0,125500.0,2654.33,4,15,2017-04-29 09:10:13.13228,2017-04-29 09:10:13.266017
30,12.5,112950.0,125500.0,2654.33,3,15,2017-04-29 09:10:13.213283,2017-04-29 09:10:13.267997
880,75.0,830325.0,985005.0,7805.055,29,464,2017-05-25 07:03:53.591071,2017-05-25 07:03:53.597772
