id,unit_no,size,nett_price,spa_price,comm,sale_id,project_id,created_at,updated_at
467,26-12,,0.0,0.0,0.0,,7,2017-05-29 15:24:46.681371,2017-05-29 15:24:46.699184
1,C-27-01,1434,741370.0,872200.0,11847.09,,1,2017-04-29 09:10:10.100492,2017-04-29 09:10:10.131252
479,26-12,411,609649.0,713040.0,9742.19102,,7,2017-05-31 02:50:49.296214,2017-05-31 02:50:49.296214
488,Q13-2,850,283360.0,308000.0,2663.584,,20,2017-06-01 07:53:39.877507,2017-06-01 07:53:39.903401
2,C-27-3A,1434,753270.0,886200.0,12037.25,,1,2017-04-29 09:10:10.503788,2017-04-29 09:10:10.525839
491,A-11-7,1400,1637700.0,1819560.0,15394.38,,18,2017-06-01 10:04:19.099841,2017-06-01 10:04:19.109379
3,A-43-5,850,448000.0,448000.0,3360.12,,2,2017-04-29 09:10:10.648429,2017-04-29 09:10:10.669403
493,A-16-03,726,390280.0,443500.0,3668.632,,14,2017-06-02 05:50:35.018298,2017-06-02 05:50:35.018298
495,N2-01,850,626560.0,712000.0,8834.496,,9,2017-06-02 10:29:04.935198,2017-06-02 10:29:04.954092
4,B-23A-3A,1262,714510.0,840600.0,11417.87,,1,2017-04-29 09:10:10.945322,2017-04-29 09:10:10.96644
496,N2-01,1150,626560.0,712000.0,8834.496,,9,2017-06-03 09:18:22.705392,2017-06-03 09:18:22.736487
5,C-12-03,647,638100.0,709000.0,14995.35,,3,2017-04-29 09:10:11.167269,2017-04-29 09:10:11.18505
498,18-15,384,578341.2,664760.0,9241.892376,,7,2017-06-03 10:22:25.85992,2017-06-03 10:22:25.883394
500,N-33-3,1155,727760.0,827000.0,10261.416,,9,2017-06-04 07:12:18.446847,2017-06-04 07:12:18.477006
6,A-20-01,2616,3157440.0,3289000.0,29679.94,,4,2017-04-29 09:10:11.547454,2017-04-29 09:10:11.566714
505,S2-29-8,836,597445.2,659548.0,2807.99244,,24,2017-06-04 10:31:39.73767,2017-06-04 10:31:39.750395
7,A-17-11,850,448000.0,448000.0,3360.12,,2,2017-04-29 09:10:11.677278,2017-04-29 09:10:11.699968
8,B-27-6,850,430000.0,430000.0,3225.11,,2,2017-04-29 09:10:11.897405,2017-04-29 09:10:11.918416
9,C-13-3A,1434,733720.0,863200.0,11724.85,,1,2017-04-29 09:10:12.03678,2017-04-29 09:10:12.059643
10,3-13-13A,1335,1360620.0,1511800.0,19184.74,,5,2017-04-29 09:10:12.165393,2017-04-29 09:10:12.188125
11,A-17-12,1000,466800.0,517800.0,3501.12,,6,2017-04-29 09:10:12.296029,2017-04-29 09:10:12.320438
12,D-15-09,1246,703885.0,828100.0,11248.08,,1,2017-04-29 09:10:12.501306,2017-04-29 09:10:12.517996
13,B-26-08,1219,693771.0,868300.0,11086.46,,1,2017-04-29 09:10:12.70666,2017-04-29 09:10:12.734466
14,A-19-6,1050,488200.0,542444.0,3661.63,,6,2017-04-29 09:10:12.850218,2017-04-29 09:10:12.877029
15,A-38-3A,882,903600.0,1004000.0,21234.6,,3,2017-04-29 09:10:13.223364,2017-04-29 09:10:13.243556
16,D-33A-09,1398,735335.0,865100.0,11750.65,,1,2017-04-29 09:10:13.452191,2017-04-29 09:10:13.475118
17,25-06,578,818350.0,940633.0,13077.23,,7,2017-04-29 09:10:13.761756,2017-04-29 09:10:13.786561
18,13-17,384,514518.48,612522.0,8222.01,,7,2017-04-29 09:10:13.920674,2017-04-29 09:10:13.94452
19,A-18-10,1000,467500.0,516111.0,3506.37,,6,2017-04-29 09:10:14.144126,2017-04-29 09:10:14.16724
363,A-7-3,701,746300.0,878000.0,28060.88,,22,2017-05-05 16:45:49.059906,2017-05-05 16:45:49.205913
20,B-30-19,1000,479200.0,479200.0,3594.12,,6,2017-04-29 09:10:14.416309,2017-04-29 09:10:14.473921
468,C-36-06,1219,755055.0,888300.0,12065.7789,,1,2017-05-30 03:35:38.784618,2017-05-30 03:35:38.784618
21,J-02-03,1215,915178.4,1143973.0,12904.02,,8,2017-04-29 09:10:14.630876,2017-04-29 09:10:14.655821
481,B-29-3A,1000,469000.0,520000.0,3526.88,,6,2017-05-31 08:32:44.844056,2017-05-31 08:32:44.886805
22,J-05-01,2065,1493794.4,1867243.0,21062.5,,8,2017-04-29 09:10:14.768159,2017-04-29 09:10:14.792066
489,A-11-7,1400,1637700.0,1819560.0,15394.38,,18,2017-06-01 10:01:54.623365,2017-06-01 10:01:54.635511
352,B-13-6,1000,459000.0,510000.0,3442.62,,6,2017-05-05 16:45:39.571558,2017-05-05 16:45:39.679265
23,J-01-03,1215,912854.4,1141068.0,12871.25,,8,2017-04-29 09:10:14.984211,2017-04-29 09:10:15.007241
494,A-20-03,726,392040.0,445500.0,3685.176,,14,2017-06-02 05:52:17.23907,2017-06-02 05:52:17.23907
24,A-13A-3A,1000,459000.0,510000.0,3442.62,,6,2017-04-29 09:10:15.463614,2017-04-29 09:10:15.485164
497,B-31-7,1000,479200.0,530200.0,3603.584,,6,2017-06-03 09:22:34.50722,2017-06-03 09:22:34.530668
353,C-38-01,1403,721656.0,903200.0,11532.06,,1,2017-05-05 16:45:40.197663,2017-05-05 16:45:40.326591
25,A-23A-3A,1000,459000.0,510000.0,3442.62,,6,2017-04-29 09:10:15.584739,2017-04-29 09:10:15.603601
499,A-23-09,1219,728875.0,857500.0,11647.4225,,1,2017-06-03 15:56:56.066472,2017-06-03 15:56:56.087265
26,J-19-01,2065,1639100.8,2048876.0,23111.32,,8,2017-04-29 09:10:15.707428,2017-04-29 09:10:15.725675
354,B-08-05,1403,709591.0,888100.0,11339.26,,1,2017-05-05 16:45:40.810186,2017-05-05 16:45:40.930532
501,L-13-9,1055,486732.0,566800.0,4575.2808,,10,2017-06-04 07:15:37.459362,2017-06-04 07:15:37.476603
27,J-06-02,1377,1135943.2,1419929.0,16016.8,,8,2017-04-29 09:10:15.838585,2017-04-29 09:10:15.868263
503,L34-03,947,454744.0,532800.0,4274.5936,,10,2017-06-04 08:52:32.42859,2017-06-04 08:52:32.441154
355,20-11,411,599389.0,701040.0,9578.24,,7,2017-05-05 16:45:41.79806,2017-05-05 16:45:41.889611
28,A-25-6,1050,492600.0,546210.0,3694.63,,6,2017-04-29 09:10:16.046918,2017-04-29 09:10:16.065367
507,S1-20-10,753,501451.2,557168.0,2356.82064,,24,2017-06-04 10:37:30.169029,2017-06-04 10:37:30.180549
29,A-35-3A,882,888300.0,987000.0,20875.05,,3,2017-04-29 09:10:16.17586,2017-04-29 09:10:16.193486
356,B-26-08,384,581821.2,668760.0,9297.5,,7,2017-05-05 16:45:42.375364,2017-05-05 16:45:42.498267
30,N-28-5,1155,714560.0,812000.0,10075.3,,9,2017-04-29 09:10:16.385285,2017-04-29 09:10:16.40817
31,N-13-2,1155,685520.0,779000.0,9665.83,,9,2017-04-29 09:10:16.537672,2017-04-29 09:10:16.560108
357,B-23-3,1000,469000.0,520000.0,3517.62,,6,2017-05-05 16:45:44.471723,2017-05-05 16:45:44.733879
32,N-9-8,1155,493680.0,561000.0,6960.89,,9,2017-04-29 09:10:16.653729,2017-04-29 09:10:16.669965
358,C-16-17,900,400000.0,420000.0,3000.1,,12,2017-05-05 16:45:45.359468,2017-05-05 16:45:45.452261
33,N-15-2,1155,688160.0,782000.0,9703.06,,9,2017-04-29 09:10:16.764953,2017-04-29 09:10:16.780727
34,N-33-3,1155,715440.0,813000.0,10087.7,,9,2017-04-29 09:10:16.956236,2017-04-29 09:10:16.972749
359,13A-09,384,551270.0,644760.0,8809.29,,7,2017-05-05 16:45:46.036125,2017-05-05 16:45:46.097612
35,N-11-5,1155,687280.0,781000.0,9690.65,,9,2017-04-29 09:10:17.161141,2017-04-29 09:10:17.177907
36,N-31-3,1155,712800.0,810000.0,10050.48,,9,2017-04-29 09:10:17.37293,2017-04-29 09:10:17.391922
360,B-9-3,1000,461900.0,512900.0,3464.37,,6,2017-05-05 16:45:46.773581,2017-05-05 16:45:46.885651
37,N-27-1,1155,716320.0,814000.0,10100.11,,9,2017-04-29 09:10:17.58619,2017-04-29 09:10:17.603381
361,B-23-3A,1000,469000.0,520000.0,3517.62,,6,2017-05-05 16:45:47.694011,2017-05-05 16:45:47.850736
38,A-13-3A,1000,464700.0,515700.0,3485.37,,6,2017-04-29 09:10:18.028816,2017-04-29 09:10:18.0521
